Nâng cấp bắt đầu: 18:07:53_28-12-2022
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file modules/feeds/version.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file modules/freecontent/admin/list.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file modules/freecontent/admin/manager.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file modules/freecontent/version.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file modules/menu/admin/rows.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file modules/menu/blocks/global.bootstrap.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file modules/menu/menu_blocks.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file modules/menu/version.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file modules/news/Log/Log.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file modules/news/Log/index.html | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file modules/news/Shared/Logs.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file modules/news/Shared/Posts.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file modules/news/Shared/index.html | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file modules/news/action_mysql.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file modules/news/admin/admins.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file modules/news/admin/cat.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file modules/news/admin/change_cat.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file modules/news/admin/content.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file modules/news/admin/declined.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file modules/news/admin/main.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file modules/news/admin/move.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file modules/news/admin/publtime.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file modules/news/admin/re-published.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file modules/news/admin/setting.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file modules/news/admin/stop.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file modules/news/admin/voices.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file modules/news/admin/waiting.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file modules/news/admin.functions.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file modules/news/admin.menu.php | SUCCESS
18:08:10_28-12-2022 | 171.235.180.88 | Di chuyển file modules/news/funcs/content.php | SUCCESS
